,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,address2,fax,quoteSourceName,averageDailyVolume3Month,regularMarketTime,regularMarketChange,preMarketPrice,exchangeDataDelayedBy,postMarketChange,postMarketPrice,exchangeName,preMarketChange,regularMarketSource,marketState
0,55144-1000,Industrials,95000.0,"3M Company develops, manufactures, and markets various products worldwide. It operates through four business segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment offers personal safety products, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules to industrial, electrical, and safety markets. The Transportation and Electronics provides electronics, such as display materials and systems, electronic materials solutions; automotive and aerospace, and commercial solutions; advanced materials; and transportation safety products to transportation and electronic original equipment manufacturer customers. The Health Care segment offers medical and surgical supplies, skin health and infection prevention products, oral care, separation and purification sciences, health information systems, drug delivery systems, and food safety products to healthcare industry. The Consumer segment provides home improvement, home care, and consumer health care products, as well as stationery and office supplies to various consumers. This segment is also involved in the retail auto care business. It offers its products through various e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers, as well as directly to users. 3M Company has a strategic collaboration with Merry Maids in residential cleaning sector; and collaborations with The Infectious Disease Research Institute and Duke Human Vaccine Institute to create a vaccine candidate with potential to provide protection against multiple variants of SARS-CoV-2. The company was founded in 1902 and is headquartered in St. Paul, Minnesota.",St. Paul,651-733-1110,MN,United States,[],http://www.3m.com,1,3M Center,Specialty Industrial Machinery,0.28492,0.17294,0.48683,8588000256.0,0.096,0.22633,9390999552.0,134.0,hold,15685000000.0,6547250176.0,200.0,201.03,0.231,1.835,0.09985,17.0,196.35,137.858,0.47467998,218.0,5142000128.0,19062999040.0,32960000000.0,8.87,USD,56.972,1.191,3.0,NYQ,3M Company,3M Company,America/New_York,EDT,True,-14400000,,EQUITY,MMM,,,finmb_289194,375388b3-dab7-3763-90cd-457ad19388a2,us_market,,3.887,,13.643,,,10.59,,579675008.0,,,,23.737,10963234.0,0.0189,,1609372800.0,0.68107,5699999744.0,9.772,,,8.469057,0.00122,1672444800.0,,1617148800.0,6.25,1620950400.0,579031563.0,0.956474,128121208832.0,2,,1064880000.0,2:1,,,0.242,3.5355604,1623715200.0,2.59,,18.983002,,0.0189,10073356.0,,,197.52,198.54,192.435,0.029819764,0.6029,,202.21,,2315740.0,197.52,198.29735,5.89,198.54,2315740.0,,,5.92,1621468800.0,,,197.4,USD,20.572042,2204044.0,,,,116532068352.0,,,2149652.0,197.4,200.85,800.0,2204044.0,208.95,,2.87,149.66,200.25,False,0.0301,1000.0,202.21,201.03,https://logo.clearbit.com/3m.com,,,,,,,,,,,,,,
1,60064-6400,Healthcare,109000.0,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, MÃ©niÃ¨re's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. The company was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],http://www.abbott.com,1,100 Abbott Park Road,Medical Devices,0.27738002,0.1533,0.56837004,9822999552.0,0.353,0.18544,10357000192.0,110.0,buy,19611000000.0,6360750080.0,125.0,122.12,2.213,1.751,0.06202,20.0,126.3,54.587,0.17815,158.0,8371999744.0,18443999232.0,37338001408.0,4.712,USD,21.036,1.161,1.8,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EDT,True,-14400000,,EQUITY,ABT,,,finmb_247483,5f9c82b0-139d-3f8f-b30c-efd7ee9ccdcf,us_market,,5.93,,21.379,,,4.67,,1776819968.0,,,,18.889,14011039.0,0.007900001,,1609372800.0,0.7571,5693000192.0,3.191,,,6.4651384,0.00721,1672444800.0,,1617148800.0,1.77,1620950400.0,1763476229.0,0.67519,221419765760.0,2,,1357084800.0,10000:4798,,,2.179,5.8113785,1623715200.0,2.19,,26.149893,,0.0081,14203592.0,,,120.92,121.38,118.20721,0.013397288,0.47959998,,122.55,,4599200.0,120.92,116.42853,1.62,121.38,4599200.0,,,1.8,1626220800.0,,,121.07,USD,38.270134,3595254.0,,,,216985255936.0,,,6281128.0,121.07,122.29,800.0,3595254.0,128.54,,1.74,98.67,121.08,False,0.0150999995,1400.0,122.55,122.12,https://logo.clearbit.com/abbott.com,Abbott Park,,,,,,,,,,,,,
2,60064-6400,Healthcare,48000.0,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production. The company was incorporated in 2012 and is based in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],http://www.abbvie.com,1,1 North Waukegan Road,Drug Manufacturers—General,0.48863,0.10278,0.67513,18649999360.0,0.509,0.32673,24526999552.0,105.0,buy,31747000000.0,18460125184.0,126.5,116.25,-0.015,0.832,0.08482,24.0,124.08,622.981,1.6356399,144.0,9784000512.0,85554003968.0,50195001344.0,5.54,USD,28.864,0.606,2.0,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EDT,True,-14400000,,EQUITY,ABBV,,,finmb_141885706,73238d42-cdcc-3f92-8141-dd675addae10,us_market,,5.521,,11.299,,,13.92,,1766220032.0,,,,7.765,14759627.0,0.0084,,1609372800.0,0.68871003,5088999936.0,2.913,,,14.9710245,0.00123,1672444800.0,,1617148800.0,1.97,1619740800.0,1740788734.0,0.804891,277142339584.0,2,,,,,,0.18,4.0905085,1622160000.0,1.97,,8.351293,,0.0084,14886118.0,,,115.45,115.67,111.04228,0.042962324,1.7993,,116.31,,5360260.0,115.45,115.88088,4.96,115.67,5360260.0,,,5.2,1626220800.0,,,114.8894,USD,39.90731,5703394.0,,,,205323075584.0,,,6301317.0,114.8894,116.0,800.0,5703394.0,119.15,,4.19,79.11,116.15,False,0.045300003,900.0,116.31,116.25,https://logo.clearbit.com/abbvie.com,,,,,,,,,,,,,,
3,01923,Healthcare,1725.0,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the Automated Impella Controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; and Impella BTR, a percutaneous micro heart pump with integrated motors and sensors. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,[],http://www.abiomed.com,1,22 Cherry Hill Drive,Medical Devices,0.3023,0.26610002,0.80896,274577984.0,0.167,0.27476,256210000.0,245.0,buy,685615000.0,150032368.0,390.0,326.52,0.799,6.11,0.10738,6.0,371.67,0.46,0.18832001,425.0,583694976.0,6116000.0,847521984.0,12.886,USD,18.775,5.279,2.3,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,ABMD,,,finmb_247589,a393224e-40ae-3cd2-a2c8-12a0912a9351,us_market,,16.512,,54.62,,,5.23,,45296000.0,,,,29.371,788962.0,0.0174,,1617148800.0,0.93705004,225524992.0,4.94,,,11.117087,0.021340001,1680220800.0,,1617148800.0,2.63,1619740800.0,44308527.0,1.291847,13994137600.0,2,,970444800.0,2:1,,,0.788,17.748743,1622160000.0,7.56,,62.43212,,0.02,830622.0,,,328.36,330.96,314.02097,,0.0,,333.6,,140780.0,328.36,318.61087,,330.96,140780.0,,,,,,,324.0,USD,66.09716,191401.0,,,,15042449408.0,,,249223.0,324.0,333.0,900.0,191401.0,387.4,,,242.73,303.0,False,,800.0,333.6,326.52,https://logo.clearbit.com/abiomed.com,,978 777 8411,,,,,,,,,,,,
4,2,Technology,537000.0,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company also provides outsourcing services. It serves communications, media, high tech, software, and platform companies; banking, capital market, and insurance industries; and consumer goods, retail, travel services, industrial, and life science industries, as well as clients in health, public service, chemicals and natural resources, energy, and utilities sectors. Accenture plc has alliance relationships with Adobe, Alibaba, Amazon Web Services, Blue Yonder, Cisco, Dell, Google, HPE, IBM RedHat, Microsoft, Oracle, Pegasystems, Salesforce, SAP, ServiceNow, VMWare, Workday, Massachusetts Institute of Technology, Institut Polytechnique de Paris, CNH Industrial, and Reactive Technologies. The company was incorporated in 2009 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],http://www.accenture.com,1,1 Grand Canal Square,Information Technology Services,0.16614,0.11946999,0.31663,10035166208.0,0.085,0.14891,7588846080.0,290.0,buy,13976158000.0,8584699904.0,325.0,318.52,0.171,1.388,0.11569,24.0,322.58,18.439,0.31882,342.0,9170096128.0,3474390016.0,45676883968.0,14.426,USD,71.867,1.27,2.1,NYQ,Accenture plc,Accenture plc,America/New_York,EDT,True,-14400000,,EQUITY,ACN,,,finmb_972190,64bf532c-0542-3794-9f22-7d6062a2458b,us_market,,3.945,,23.745,,,9.38,,635646976.0,,,,28.802,4134151.0,0.0064999997,,1598832000.0,0.73608,5457266176.0,8.45,,,11.058954,0.00126,1661904000.0,,1614470400.0,1.76,1615766400.0,634649239.0,1.100386,180193411072.0,2,,1325203200.0,10:1,,,0.167,4.432576,1618444800.0,2.78,,33.957355,,0.0064999997,4557269.0,,,316.08,317.77,279.6995,0.010883321,0.39810002,,319.565,,1832460.0,316.08,303.42087,3.44,317.77,1832460.0,,,3.52,1618358400.0,,,315.5017,USD,37.694675,1979647.0,,,,202466263040.0,,,1914295.0,315.5017,318.14,800.0,1979647.0,321.0,,1.63,210.42,314.22,False,0.0121,900.0,319.565,318.52,https://logo.clearbit.com/accenture.com,Grand Canal Harbour,353 1 646 2020,,,,,,,,,,,,
5,90405,Communication Services,9500.0,"Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision Publishing, Inc.; Blizzard Entertainment, Inc.; and King Digital Entertainment. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. Activision Blizzard, Inc. is headquartered in Santa Monica, California.",Santa Monica,310 255 2000,CA,United States,[],http://www.activisionblizzard.com,1,3100 Ocean Park Boulevard,Electronic Gaming & Multimedia,0.37162998,0.26957,0.72787005,2948000000.0,0.272,0.35204,3185999872.0,85.0,buy,5826000000.0,2858249984.0,120.0,79.83,0.215,3.434,0.08767,32.0,116.66,23.521,0.16302,145.3,9507999744.0,3606000128.0,8573000192.0,12.237,USD,11.098,3.232,1.9,NMS,"Activision Blizzard, Inc","Activision Blizzard, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,ATVI,,,finmb_4222231,c564fea5-667a-32d7-929a-597b64dca83b,us_market,,7.679,,20.663,,,4.42,,777017024.0,,,,19.734,10557984.0,0.0136,,1609372800.0,0.89634,2311000064.0,2.96,,,4.045303,0.008090001,1672444800.0,,1617148800.0,2.12,1622160000.0,771220214.0,0.601741,65832185856.0,2,,1220832000.0,2:1,,,0.226,7.2354217,1625011200.0,1.55,,18.061087,,0.0137,8965657.0,,,82.76,80.99,94.08103,0.005679072,0.1385,,81.45,,11756660.0,82.76,91.82794,0.47,80.99,11756660.0,,,0.47,1618358400.0,,,77.81,USD,26.969595,16563212.0,,,,62029271040.0,,,6019366.0,77.81,84.7,1100.0,16563212.0,104.53,,0.57,71.19,84.7,False,0.0050999997,1200.0,81.45,79.83,https://logo.clearbit.com/activisionblizzard.com,,,,,,,,,,,,,,
6,95110-2704,Technology,22516.0,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves content creators, experience designers, app developers, enthusiasts, students, social media users, and creative professionals; and marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers products, services, and solutions for creating, managing, executing, measuring, monetizing, and optimizing customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, marketing executives, information management and technology executives, product development executives, and sales and support executives. Its Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],http://www.adobe.com,1,345 Park Avenue,Software—Infrastructure,0.39815,0.38794,0.87865996,6977999872.0,0.226,0.3575,5728999936.0,550.0,buy,11146000000.0,5399374848.0,625.0,621.28,0.022,1.315,0.13627,24.0,618.99,33.88,0.45138,700.0,5768000000.0,4693000192.0,14389000192.0,12.067,USD,30.04,1.179,1.7,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EDT,True,-14400000,,EQUITY,ADBE,,,finmb_24321,bccf427f-30a1-3360-9ce4-c77a8198c902,us_market,,19.051,,47.849,,,14.03,,478000000.0,,,,28.979,5077207.0,0.0106,,1606435200.0,0.85155,5582000128.0,11.538,,,21.438974,0.0030899998,1669507200.0,,1622764800.0,2.6,1619740800.0,476527760.0,0.947826,274128715776.0,2,,1116892800.0,2:1,,,0.015,20.638811,1622160000.0,2.28,,44.282257,,0.0106,5424898.0,,,618.75,620.23,511.025,,0.0,,624.53,,1374100.0,618.75,594.0959,,620.23,1374100.0,,,,1111622400.0,,,614.0,USD,53.846424,1067408.0,,,,296971862016.0,,,2007898.0,614.0,621.0,800.0,1067408.0,631.64,,,420.78,615.15,False,,900.0,624.53,621.28,https://logo.clearbit.com/adobe.com,,408 537 6000,,,,,,,,,,,,
7,95054,Technology,12600.0,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen PRO, Ryzen, Threadripper, AMD A-Series, AMD FX, AMD Athlon, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen, AMD A-Series, AMD Athlon, AMD Ryzen PRO, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for servers under the AMD EPYC and AMD Opteron brands; and chipsets under the AMD trademark. It also offers discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics and AMD Embedded Radeon brands; professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands; and Radeon Instinct and AMD Instinct accelerators for servers. In addition, the company provides embedded processor solutions under the AMD Opteron, AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. Advanced Micro Devices, Inc. was founded in 1969 and is headquartered in Santa Clara, California.",Santa Clara,408 749 4000,CA,United States,[],http://www.amd.com,1,2485 Augustine Drive,Semiconductors,0.19331,0.25241,0.44791,2034000000.0,0.929,0.16363001,2208000000.0,17.0,buy,4347000000.0,1334249984.0,106.5,112.56,2.318,2.513,0.14682999,34.0,104.64,8.507,0.60605,169.7,3116000000.0,551000000.0,11422000128.0,2.565,USD,9.56,1.851,2.3,NMS,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,AMD,,,finmb_168864,48af4341-f745-363f-945f-a838eeabb062,us_market,,8.692,,44.963,,,2.7,,1215020032.0,,,,5.331,84744445.0,0.069699995,,1608940800.0,0.748,2883000064.0,2.382,,,21.114237,0.00522,1672012800.0,,1616803200.0,1.77,1619740800.0,1208326210.0,2.030978,99278061568.0,2,,966902400.0,2:1,,,2.426,11.973617,1622160000.0,1.22,,41.68889,,0.0701,85224498.0,,,108.63,108.15,84.0914,,0.0,,114.85,,105463060.0,108.63,89.310585,,108.15,105463060.0,,,,798940800.0,,,107.66,USD,47.254406,157723142.0,,,,136762654720.0,,,45127520.0,107.66,113.11,900.0,157723142.0,114.85,,,72.5,113.03,False,,800.0,114.85,112.56,https://logo.clearbit.com/amd.com,,,,,,,,,,,,,,
8,27604,Consumer Cyclical,40000.0,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Raleigh,540 362 4911,NC,United States,[],http://www.advanceautoparts.com,1,2635 East Millbrook Road,Specialty Retail,0.11545999,0.059169997,0.44679,1288711936.0,0.234,0.09229,1239875968.0,136.0,buy,4484775000.0,974514368.0,221.5,215.4,3.46,1.317,0.05175,16.0,217.75,99.793,0.18054001,240.0,880233024.0,3494320128.0,10738808832.0,13.563,USD,158.215,0.352,2.2,NYQ,Advance Auto Parts Inc Advance ,"Advance Auto Parts, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,AAP,,,finmb_24333,e77e78f9-7896-3fa1-acee-885058f2c91a,us_market,,1.534,,13.282,,,12.17,,65438900.0,,,,53.954,3188062.0,0.048699997,,1609545600.0,1.0113,635363008.0,9.309,,,3.9922898,0.00423,1672617600.0,,1619222400.0,3.04,1620950400.0,64647062.0,1.381392,16468048896.0,2,,1127692800.0,3:2,,,3.266,1.3125793,1623715200.0,1.46,,17.69926,,0.0548,3281027.0,,,212.71,213.1,187.53934,0.0047012363,0.1073,,217.66,,501240.0,212.71,206.65941,1.0,213.1,501240.0,,,4.0,1623888000.0,,,211.81,USD,23.138897,441685.0,,,,14095538176.0,,,759865.0,211.81,215.4,800.0,441685.0,217.69,,0.27,142.46,215.15,False,0.0187,800.0,217.66,215.4,https://logo.clearbit.com/advanceautoparts.com,,,,,,,,,,,,,,
9,22203,Utilities,8162.0,"The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The company also owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It uses a range of fuels and technologies to generate electricity, including natural gas, coal, pet coke, diesel, and oil, as well as renewables, such as hydro, solar, wind, energy storage, biomass, and landfill gas. The company owns and/or operates a generation portfolio of approximately 30,308 megawatts. It has operations in the United States, Puerto Rico, El Salvador, Chile, Colombia, Argentina, Brazil, Mexico, Central America, the Caribbean, Europe, and Asia. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was incorporated in 1981 and is headquartered in Arlington, Virginia.",Arlington,703 522 1315,VA,United States,[],http://www.aes.com,1,4300 Wilson Boulevard,Utilities—Diversified,0.35834,-0.02471,0.26795,2635000064.0,0.127,0.25038,3568000000.0,27.5,buy,2511000000.0,308249984.0,30.0,23.92,,1.242,0.04494,8.0,29.81,347.137,-0.020750001,32.0,2072999936.0,19883999232.0,9957000192.0,3.111,USD,14.962,0.68,1.9,NYQ,The AES Corporation,The AES Corporation,America/New_York,EDT,True,-14400000,,EQUITY,AES,,,finmb_35312,76b75934-57e2-3b50-befe-2dcd63cf388f,us_market,,3.874,,10.811,,,1.68,,668112000.0,,,,3.959,6917028.0,0.0104,,1609372800.0,0.9917,-249000000.0,0.064,,,6.0419297,0.0031400002,1672444800.0,,1617148800.0,1.38,1620950400.0,664025372.0,0.792391,38574329856.0,2,,959904000.0,2:1,,,,1.6050255,1623715200.0,2.23,,14.238095,,0.0139999995,9273666.0,,,23.57,23.65,26.312721,0.024310565,,,24.12,,4382780.0,23.57,25.252058,0.573,23.65,4382780.0,,,0.6,1619654400.0,,,23.52,USD,373.74997,10843580.0,,,,15981239296.0,,,5313388.0,23.52,23.92,1100.0,10843580.0,29.07,,3.51,14.98,23.91,False,0.0231,2200.0,24.12,23.92,https://logo.clearbit.com/aes.com,11th Floor,,,,,,,,,,,,,
